"Designator","Footprint","Quantity","Value","LCSC Part #"
"C1, C3",805,2,"22uF","C45783"
"C10, C11, C9",805,3,"1uF","C28323"
"C12, C13, C14, C15",805,4,"220pF","C107145"
"C2","CP_Elec_6.3x7.7",1,"470uF",
"C4, C5",805,2,"47pF","C14857"
"C6",805,1,"10nF","C1710"
"C7",805,1,"100nF","C49678"
"C8",805,1,"2.2uF","C377773"
"D1",805,1,"TX","C2296"
"D2",805,1,"RX","C2296"
"D3, D4","SOT-23",2,"SM712_SOT23",
"D5",805,1,"PWR","C84256"
"FB1",603,1,"600R","C1002"
"J1","UJ2-BH-1-TH_CUD",1,"USB_B",
"J2","CONN_MDJ-004_ADM",1,"Mini-DIN-8",
"R1, R2",805,2,27,"C17561"
"R10, R11, R12, R5, R6, R7, R8, R9",805,8,22,"C17561"
"R13, R3, R4",805,3,"1K","C17513"
"U1","SSOP-16_3.9x4.9mm_P0.635mm",1,"FT230XS",
"U2","SOT-223-3_TabPin2",1,"AZ1117H-ADJ","C6186"
"U3","SOIC-8_3.9x4.9mm_P1.27mm",1,"TaskTalk-2.0",
"U4, U5","SOIC-8_3.9x4.9mm_P1.27mm",2,"SN65HVD11HD",
